hodnota,vek_kod,vuzemi_kod,casref_do,vek_txt,vuzemi_txt
77902,65-69,3140,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Moravskoslezský kraj
69158,60-64,3018,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Hlavní město Praha
78773,60-64,3026,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Středočeský kraj
42321,60-64,3034,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Jihočeský kraj
36898,60-64,3042,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Plzeňský kraj
19144,60-64,3051,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Karlovarský kraj
49980,60-64,3069,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Ústecký kraj
25926,60-64,3077,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Liberecký kraj
34820,60-64,3085,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Královéhradecký kraj
32525,60-64,3093,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Pardubický kraj
33377,60-64,3107,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Kraj Vysočina
72838,60-64,3115,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Jihomoravský kraj
40488,60-64,3123,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Olomoucký kraj
38091,60-64,3131,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Zlínský kraj
77228,60-64,3140,2019-12-31,60 až 65 (více nebo rovno 60 a méně než 65),Moravskoslezský kraj
32814,55-59,3107,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Kraj Vysočina
71920,55-59,3115,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Jihomoravský kraj
39508,55-59,3123,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Olomoucký kraj
38318,55-59,3131,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Zlínský kraj
80123,55-59,3140,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Moravskoslezský kraj
74341,55-59,3018,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Hlavní město Praha
79419,55-59,3026,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Středočeský kraj
40318,55-59,3034,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Jihočeský kraj
36215,55-59,3042,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Plzeňský kraj
19187,55-59,3051,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Karlovarský kraj
50324,55-59,3069,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Ústecký kraj
26204,55-59,3077,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Liberecký kraj
33237,55-59,3085,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Královéhradecký kraj
31573,55-59,3093,2019-12-31,55 až 60 (více nebo rovno 55 a méně než 60),Pardubický kraj
79932,50-54,3018,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Hlavní město Praha
87421,50-54,3026,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Středočeský kraj
41401,50-54,3034,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Jihočeský kraj
37941,50-54,3042,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Plzeňský kraj
20183,50-54,3051,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Karlovarský kraj
53915,50-54,3069,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Ústecký kraj
27846,50-54,3077,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Liberecký kraj
35290,50-54,3085,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Královéhradecký kraj
32972,50-54,3093,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Pardubický kraj
33140,50-54,3107,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Kraj Vysočina
75375,50-54,3115,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Jihomoravský kraj
40702,50-54,3123,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Olomoucký kraj
38111,50-54,3131,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Zlínský kraj
82007,50-54,3140,2019-12-31,50 až 55 (více nebo rovno 50 a méně než 55),Moravskoslezský kraj
71009,5-9,3018,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Hlavní město Praha
83816,5-9,3026,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Středočeský kraj
33350,5-9,3034,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Jihočeský kraj
29823,5-9,3042,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Plzeňský kraj
14536,5-9,3051,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Karlovarský kraj
42932,5-9,3069,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Ústecký kraj
23697,5-9,3077,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Liberecký kraj
27929,5-9,3085,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Královéhradecký kraj
